⑮の2 工房の制作項目(枝分かれ比べ・中央値≥1.05)
  OK 料理:butterCookie          S3 中央値比=1000000000.000 (n=10)
  OK 料理:chocoFondant          S2 中央値比=1000000000.000 (n=10)
  OK 料理:mintIce               S6 中央値比=1000000000.000 (n=10)
  OK 料理:hunterStew            S6 中央値比=1000000000.000 (n=10)
  OK 料理:frostCake             S1 中央値比=500486768.249 (n=10)
  OK 料理:stardustParfait       S1 中央値比=1000000000.000 (n=10)
  OK 料理:voidTart              S9 中央値比=1000000000.000 (n=10)
⑮の2 合計 7/7(料理のみ・旧装備は廃止)
㉙ 注文ボードの報酬(枝分かれ比べ・稼ぎ比≥1.2)
  OK 注文報酬:cookie              S6 中央値比=983950827.695 (n=10)
  OK 注文報酬:materials           S6 中央値比=1000000000.000 (n=10)
  OK 注文報酬:boost               S6 中央値比=500000110.565 (n=10)
㉙ 合計 3/3
新装備(a) 装備lift(枝分かれ・付け替え封止比≥1.5・全周回)
  OK 装備lift:weapon_t1_v1         min比=50.829 (n=9, S9)
  OK 装備lift:shield_t1_v1         min比=72.188 (n=7, S9)
  OK 装備lift:shield_t1_v6         min比=53.955 (n=2, S9)
  OK 装備lift:armorTop_t1_v1       min比=72.188 (n=7, S9)
  OK 装備lift:armorTop_t1_v5       min比=53.955 (n=3, S9)
  OK 装備lift:armorBottom_t1_v1    min比=50.829 (n=9, S9)
  OK 装備lift:armorBottom_t1_v5    min比=4.412 (n=4, S8)
  OK 装備lift:armorBottom_t1_v6    min比=2.163 (n=7, S8)
  OK 装備lift:hands_t1_v1          min比=50.829 (n=9, S9)
  OK 装備lift:hat_t1_v1            min比=50.829 (n=9, S9)
  OK 装備lift:hat_t1_v4            min比=3888042583558772224.000 (n=1, S2)
  OK 装備lift:shoes_t1_v1          min比=50.829 (n=9, S9)
  OK 装備lift:accA_t1_v1           min比=50.829 (n=9, S9)
  OK 装備lift:accB_t1_v1           min比=50.829 (n=9, S9)
  OK 装備lift:accB_t1_v8           min比=11.381 (n=1, S2)
  OK 装備lift:weapon_t2_v5         min比=1.3413616753937466e+25 (n=1, S2)
  NG 装備lift:shield_t2_v1         min比=0.321 (n=9, S9)
  OK 装備lift:shield_t2_v4         min比=4.412 (n=6, S8)
  OK 装備lift:shield_t2_v6         min比=27.927 (n=2, S9)
  NG 装備lift:armorTop_t2_v1       min比=0.321 (n=9, S9)
  OK 装備lift:armorTop_t2_v2       min比=1.3413616753937466e+25 (n=1, S2)
  OK 装備lift:armorTop_t2_v4       min比=4.412 (n=6, S8)
  OK 装備lift:armorTop_t2_v5       min比=53.955 (n=3, S9)
  OK 装備lift:armorBottom_t2_v1    min比=11.381 (n=5, S9)
  OK 装備lift:armorBottom_t2_v4    min比=27.927 (n=2, S9)
  OK 装備lift:armorBottom_t2_v6    min比=435.997 (n=6, S8)
  OK 装備lift:hands_t2_v1          min比=5927038069.303 (n=1, S3)
  OK 装備lift:hands_t2_v6          min比=4.412 (n=6, S8)
  OK 装備lift:hands_t2_v9          min比=53.955 (n=2, S9)
  OK 装備lift:hat_t2_v6            min比=4.412 (n=9, S9)
  OK 装備lift:shoes_t2_v1          min比=206.964 (n=3, S8)
  OK 装備lift:shoes_t2_v6          min比=11.381 (n=5, S9)
  OK 装備lift:shoes_t2_v9          min比=4.412 (n=4, S8)
  OK 装備lift:accA_t2_v6           min比=3750.388 (n=1, S6)
  OK 装備lift:accA_t2_v7           min比=4.412 (n=5, S8)
  OK 装備lift:accB_t2_v4           min比=4.966236136374829e+22 (n=1, S2)
  OK 装備lift:accB_t2_v6           min比=4.412 (n=8, S9)
  OK 装備lift:accB_t2_v8           min比=3888042583558772224.000 (n=1, S2)
  NG 装備lift:weapon_t3_v1         min比=0.050 (n=9, S9)
  OK 装備lift:weapon_t3_v5         min比=1.3413616753937466e+25 (n=1, S2)
